"회사명","공고제목","근무지역","주소","급여","근무시간","고용형태","직종","업종","경력조건","최소학력","최대학력","등록일","마감일","모집인원","모집내용","전형방법","접수방법","제출서류","담당부서","연락처","원본_근무조건"
"주식회사 제이비제이","단순제조 생산사원 모집","(22847)  인천광역시 서해구 보도진로54번길 11-7, 1층 (가좌동)","22121 인천광역시 미추홀구 방축로 312, 10층 (주안동)","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 희망","기계·금속 분야 단순 종사원(890001)","수동식 식품 가공기기 및 금속 주방용기 제조업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","당사는 올스텐 식기건조대 및 올스텐 세탁바구니 제조업체 입니다. 스텐와이어 절곡품 용접  업무가 주업무 입니다. 성실하게 근무해주실 분 모십니다.","서류,면접","팩스,고용24,이메일","이력서,자기소개서","","032-822-6245","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무"
"재원요양센터","방문요양보호사(화성 양감) 구인","(18307)  경기도 화성시 효행구 봉담읍 상리1길 167, 상가동 110호 (중흥에스클래스 에듀포레)","18307 경기도 화성시 효행구 봉담읍 상리1길 167, 상가동 110호 (중흥에스클래스 에듀포레)","시급10,360원 이상 ~ 10,360원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","그 외 기타 보건업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","근무지 : 만세구 양감면 대양리 629 시간 : 오전9~12시 요일 : 월~토 대상자 : 90대, 남, 3등급  근무내용 : 식사, 청결, 개인위생관리, 일상생활 전반 지원, 말벗  시급:10,360+기타수당:2,640=13,000원   *실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음*","면접","방문,고용24,이메일","기타(자격증, 건겅검진)","","031-227-0105","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"사랑마을재가방문요양센터","북가좌동(북가좌오거리 근방) 독거 여자어르신 오전...","(03684)  서울특별시 서대문구 증가로23다길 26-5, ... (북가좌동)","03654 서울특별시 서대문구 모래내로17길 72-9 (홍은동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","- 수급자 : 82세, 여자 어르신, 4등급, 독거  - 근무내용 : 가사 및 일상생활지원  - 시급 : 13,500원(각종 수당이 포함된 금액)   - 근무시간 : 월요일 ~ 금요일 (주 5일), 오전 9시 ~ 12시(3시간) * 시간은 협의가능  - 거주지 : 서울 서대문구 증가로23 다길 26-5(북가좌 오거리 하나은행, 농협 근방)  - 전화로 문의해주시면 자세히 안내해드리겠습니다.","면접","방문,기타((전화상담) 02-391-4472)","기타(건강검진진단서(1년이내, 면접 시 제출), 요양보호사 자격증(면접 시 제출))","","02-391-4472","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"생생재가복지센터","[신내동, 3등급, 여자어르신, 9시~12시, 주...","(02076)  서울특별시 중랑구 신내로 51 (신내동, 성원아파트)","02103 서울특별시 중랑구 동일로123길 14, 생생재가복지센터 (중화동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","방문 복지서비스 제공업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","- 신내 성원아파트 3등급 여자어르신(37년생), 부부세대 (남편분은 신경 안 써도 됨) - 가사서비스 및 일상생활지원 - 09:00-12:00, 주5일 - 시급14,500원(기본 시급 10,320원 + 주휴·연차수당 포함)","면접","방문,기타(전화문의)","기타(요양보호사 자격증)","","02-433-9915","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd.)","[2026 제4회 꿈일터 구인구직만남의 날 참여기...","(10550)  경기도 고양시 덕양구 권율대로 570, . (원흥동)","05836 서울특별시 송파구 법원로11길 12, 8층 (문정동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : -주간조(08:00~18:00,  월 2,659,550원 ),  -오후조(18:00~익일04:00, 월 3,264,000원) -주3일제 : 주간조(월1,604,530원),  -주3일제 : 오후조(월1,967,200원) -주2일제(토,일/주간조) : (월 1,077,010원) -주2일제(토,일/오후조) : (월 1,318,790원), 주 5일 근무","기간의 정함이 있는 근로계약12 개월/ 파견근로 비희망/ 대체인력채용 비희망","물류 사무원(물류 관리사)(028408)","항공 및 육상 화물 취급업","관계없음","학력무관","","26-08-03","채용시까지  26-10-02","","[2026 제4회 꿈일터 구인구직만남의 날 참여기업]  쿠팡 고양센터 OB(집품, 포장)/ IB(입고,진열) 물류사원 모집 ◈ 면접일시 : 2026년 8월 26일(수) 오후 14:00시~ (면접시간 개별적 안내) ◈ 접수방법 : 사전유선접수(☏ 031-940-9781)  ◈ 면접장소 : 파주고용복지+센터(금촌역앞 MH타워 8층) ※ 위 일정은 변경 및 취소될 수 있습니다. / 직무내용 :  OB(집품 및 포장) : PACKING 및 주문상품 포장                   IB(입고 및 진열) : 상품의 입고와 재고관리 / 근무시간 :  -주간조(08:00~18:00, 휴게시간 12:00~13:00, 월 2,659,550원 ),  -오후조(18:00~익일04:00, 휴게시간 22:00~23:00, 월 3,264,000원) -주3일제 : 주간조(월1,604,530원),  -주3일제 : 오후조(월1,967,200원) -주2일제(토,일/주간조) : (월 1,077,010원) -주2일제(토,일/오후조) : (월 1,318,790원) / 근무형태 : 주2~5일 스케줄 근무 / 급      여 :  (면접시 근무시간 관련 급여 필수 확인) / 고용형태 : 계약직 12개월(수습 12주 포함), 정년있음 / 근 무 지  : 고양1,3센터: 고양시 덕양구 권율대로 570 / 복리후생 : 구내식당, 단체상해보험, 사이버대학 장학지원, 경조금, 명절선물, 쿠팡5%캐시백 / 출퇴근 통근버스 운행 중  * 워크넷 연계위해 주5일 40시간으로 표기함","서류,면접,기타([2026 제4회 꿈일터 구인구직만남의 날 참여기업]  쿠팡 고양센터 OB(집품, 포장)/ IB(입고,진열) 물류사원 모집)","고용24,기타(전화 031-940-9781)","이력서,기타([2026년 제4회 꿈일터 구인구직만남의 날 참여기업]  쿠팡 고양센터 OB(집품, 포장)/ IB(입고,진열) 물류사원 모집)","지자체 위탁 취업알선기관_경기  파주시","031-940-9781","평일 : -주간조(08:00~18:00,  월 2,659,550원 ),  -오후조(18:00~익일04:00, 월 3,264,000원) -주3일제 : 주간조(월1,604,530원),  -주3일제 : 오후조(월1,967,200원) -주2일제(토,일/주간조) : (월 1,077,010원) -주2일제(토,일/오후조) : (월 1,318,790원), 주 5일 근무"
"우리사랑재가복지센터","요양보호사 구인신청","(12798)  경기도 광주시 양벌로 375, 205동 (양벌동, 대주2차아파트)","12796 경기도 광주시 양벌로 58, 104호 (양벌동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","5등급 여자 어르신 신체활동지원. 정서지원. 가사및일상생활지원,치매교육이수자 시급:13,100원","기타(전화상담)","고용24","기타(요양보호사 자격증. 2026년 건강검진결과지. 치매교육이수자)","","031-762-0777","평일 : (근무시간) (오후) 12시 30분 ~ (오후) 3시 30분, 주 5일 근무"
"명진재가복지센터","(세종대왕면)명진재가복지센터에서 요양보호사 선생님...","(12641)  경기도 여주시 새미실3길 9, 도보 1분","12641 경기도 여주시 세종대왕면 능서로 15, 1층","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-01","","장소 : 여주시 세종대왕면 신지1리 마을회관에서 도보 1분  근무일수 : 주5일 월~토 근무시간 : 09:00 ~ 12:00(시간협의 가능) 시급 : 12,900원(기본급 10,320원 + 기타수당 2,580원)  근무내용 3등급 80대 여자 어르신입니다. 거동 가능하시고 기저귀 미착용에 일상생활도 가능하십니다. 주된업무는 가사 지원 및 말 벗 서비스가 되겠습니다.","서류,면접","고용24","경력증명서","","031-882-8425","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"드림농장","양돈장 직원 채용 건","(12535)  경기도 양평군 양동면 밀양골길 68 -, 드림농장","12535 경기도 양평군 양동면 밀양골길 68 -, 드림농장","시급10,320원 이상,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","돼지 사육원(902300)","양돈업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","돼지 사양관리 1. 사료급여 2. 농장환경 관리","서류","우편,팩스","이력서,자기소개서","","031-774-8155","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분, 주 6일 근무"
"'더섬김재가노인복지센터","(분당 /야탑/오전) 3등급  여자 어르신 어르신...","(13502)  경기도 성남시 분당구 장미로 193, 407동 *** (야탑동, 매화마을)","13506 경기도 성남시 분당구 야탑로 95, 7층 710-1호","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","(분당/야탑/오전) 3등급 여자 어르신 어르신 도와 주실 요양보호사님 구인  - 3등급 할머니, 생활도움 요양보호사 구인  - 주 6일 09:30-12:00 - 시급 13,000원 = 10,320원(최저임금)+2,680원(연차수당,주휴수당등)","기타(전화 및 면접 후 결정)","기타(전화접수 후 면접)","기타(요양보호사 자격증 , 채용 시건겅검진,   노인학대 범죄경력 조회서, 보수교육이수증)","","031-707-7084","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 6일 근무"
"주식회사다울시스템","[ 화도읍 ] 영진그린필 아파트 청소 미화원 구인","(12172)  경기도 남양주시 화도읍 경춘로 1790-1, 영진그린필 아파트 (영진그린필아파트)","12962 경기도 하남시 신장로 58 (천현동, 우성빌딩)","시급10,320원 이상,","평일 : 주6일 / 09:00-15:30(휴게 12:00-13:00), 격주토요일 09:00-12:00, 주 6일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)(561101)","사업시설 유지？관리 서비스업","신입","학력무관","","26-08-05","채용시까지  26-10-04","","- 화도읍 영진그린필 아파트 - 청소 미화원 업무 (복도 계단,1층 현관 ) - 주6일 ,09:00-15:30 (휴게 12:00-13:00), 격주토요일 09:00-12:00","서류","방문,팩스,고용24,이메일,기타(031-793-4236 으로 전화 문의)","이력서","","031-793-4236","평일 : 주6일 / 09:00-15:30(휴게 12:00-13:00), 격주토요일 09:00-12:00, 주 6일 근무"
"동분당재가복지센터","방문요양보호사를 모집합니다.(도촌동 근무)","(13424)  경기도 성남시 중원구 도촌남로 69, 402동 (도촌동, 휴먼시아섬마을4단지아파트)","13426 경기도 성남시 중원구 도촌로8번길 20, 103호 (도촌파크오피스텔) (도촌동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 40분 ~ (오후) 3시 45분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","사회복지 상담서비스 제공업","관계없음","학력무관","","26-08-03","채용시까지  26-10-01","","*부부 3등급 케어 입니다.  1. 주 5일 근무 2. 근무 시간 - 09:40~15:45 (태그시간 5분) 3. 부부 어르신 요양보호사업무 제공  4. 성실한  요양보호사님  모집합니다. 5. 모집인원 : 1명 6. 근무지: 성남시 중원구 도촌동 5단지 아파트 7.근무내용: 일상생활지원,신체활동지원,정서지원,병원동행 등","면접,기타(이력서 요양보호사자격증)","방문,팩스,고용24","이력서","","031-722-5451","평일 : (근무시간) (오전) 9시 40분 ~ (오후) 3시 45분, 주 5일 근무"
"돌봄방문요양센터","요양보호사 선생님 모십니다 (주휴수당포함  포괄시...","(01462)  서울특별시 도봉구 우이천로20길 7, . (창동, 건영캐스빌아파트)","01411 서울특별시 도봉구 노해로69길 103, 동아청솔아파트 상가동 103호 (창동, 동아청솔아파트)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무","기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망","요양보호사(노인요양사)(550101)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-03","채용시까지  26-09-29","","90세 남성 어르신 4급  (청력손실, 정서지원, 가사지원) (주휴수당포함  포괄시급13700원)","서류,면접","방문,팩스,고용24","이력서,자기소개서","","02-999-9430","평일 : (근무시간) (오전) 9시 00분 ~ (정오) 12시 00분, 주 5일 근무"
"주식회사펩스","CNC 자동선반 조작원 모집","(17086)  경기도 용인시 기흥구 기흥단지로121번길 35, (주)펩스 (고매동)","17086 경기도 용인시 기흥구 기흥단지로121번길 35, (주)펩스 (고매동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : 주야 교대(오전) 8시 30분~(오후) 5시 30분 (주간,  휴게시간 1.5시간) (오후) 8시 30분~(오전) 5시 30분(야간) 토요일 근무는 있을때도 있고 없을때도 있음 , 주 5일 근무","기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망","금속가공 기계 조작원(821200)","가공 및 정제염 제조업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","CNC 자동선반 기계 조작원  모집 합니다.","면접","방문","기타(없음)","","031-282-7908","평일 : 주야 교대(오전) 8시 30분~(오후) 5시 30분 (주간,  휴게시간 1.5시간) (오후) 8시 30분~(오전) 5시 30분(야간) 토요일 근무는 있을때도 있고 없을때도 있음 , 주 5일 근무"
"시니어홈케어재가방문요양센터","[금천구 독산3동/1등급/오전] 요양보호사 구인","(08546)  서울특별시 금천구 독산로85길 25, . (독산동)","07053 서울특별시 동작구 보라매로 100-4 (신대방동)","시급13,200원 이상 ~ 13,200원 이하,","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","경력","학력무관","","26-08-05","채용시까지  26-10-04","","금천구 독산동 1등급 할머니  - 피딩(콧줄), 체위변경, 기저귀케어 - 월~금요일 09:00~13:00 - 급여 시급 13,200원+중증가산수당 일급 6,000원    ** 독산3동 주민센터 인근","서류,면접,기타(전화)","고용24,기타(전화)","이력서","","","평일 : (근무시간) (오전) 9시 00분 ~ (오후) 1시 00분, 주 5일 근무"
"좋은만남재가복지센터","[홍제역/ 5등급 할머님/ 14:00~17:00/...","(03629)  서울특별시 서대문구 세무서길 11, 세무서 근처 주택 (홍제동)","01328 서울특별시 도봉구 마들로 685, 2층 (도봉동)","시급10,320원 이상 ~ 10,320원 이하,","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무","기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망","재가 요양보호사(550102)","노인 요양 복지시설 운영업","관계없음","학력무관","","26-08-05","채용시까지  26-10-04","","[홍제역] 5등급 할머님, 재가요양사 채용  *치매교육이수자 필수* ○직무내용 : 일상생활지원, 가사도움, 정서지원, 말벗 등  ○근무시간 :  주5일, 14:00~17:00 ○시      급 : 10,320원 (수당포함 13,400원) ○지원문의 :  010-2726-2422","서류,면접","방문,기타(연락 후 방문)","이력서,기타(요양보호사 자격증, 건강검진 결과지)","","02-1551-9907","평일 : (근무시간) (오후) 2시 00분 ~ (오후) 5시 00분, 주 5일 근무"
